Quarter report date,Cash...cash.equivalents,"Receivables, net",Inventories,Prepaid expenses & other current assets,Current assets of discontinued operations,Prepaid expenses and other,Total current assets,Property & equipment,Less accumulated depreciation,"Property & equipment, net",Operating lease right-of-use assets,"Finance lease right-of-use assets, net",Property under capital lease & financing obligations,Less accumulated amortization,"Property under capital lease & financing obligations, net",Goodwill,Other assets & deferred charges,Other long-term assets,Total assets,Commercial paper,Short-term borrowings,Commercial paper & other short-term borrowings,Accounts payable,Dividends payable,Accrued liabilities,Accrued income taxes,Long-term debt due within one year,Operating lease obligations due within one year,Finance lease obligations due within one year,Capital lease & financing obligations due within one year,Current liabilities of discontinued operations,Total current liabilities,Long-term debt,Long-term operating lease obligations,Long-term finance lease obligations,Long-term capital lease & financing obligations,Deferred income taxes,Deferred income taxes & other liabilities,Redeemable noncontrolling interest,Common stock,Capital in excess of par value,Common stock & capital in excess of par value,Retained earnings (accumulated deficit),Currency translation,Currency translation & other accumulated comprehensive income (loss),Unrealized gain on available-for-sale securities,Derivative instruments,Net investment hedges,Cash flow hedges,Minimum pension liability,"Balances as of July 31, 2023","Balances as of July 31, 2023",Accumulated other comprehensive income (loss),Total Walmart Inc. shareholders' equity (deficit),Nonredeemable noncontrolling interest,Noncontrolling interest,Total equity (deficit),,,,
10/31/19,8606000,5612000,51546000,2148000,,,67912000,,,104326000,16944000,4155000,,,,30716000,,15777000,239830000,,4926000,-,49750000,1507000,20973000,327000,4093000,1740000,468000,,,83784000,44912000,15741000,4068000,,,13018000,,284000,3091000,,80656000,,-12772000,,,1530000,-441000,-699000,,,-12382000,71649000,,6658000,78307000,,,,
7/31/19,9283000,5382000,44134000,2572000,,,61371000,,,104674000,17239000,3949000,,,,31454000,,16174000,234861000,,3681000,,45871000,3023000,20691000,387000,4396000,1795000,439000,,,80283000,44404000,16079000,3915000,,,13049000,,285000,2880000,,78432000,-11777000,,,,1643000,-429000,-707000,,,-11270000,70327000,,6804000,77131000,,,,
4/30/19,9255000,5342000,44751000,2391000,,,61739000,,,104604000,16833000,3804000,,,,31416000,,16148000,234544000,,4828000,,45110000,4551000,21023000,729000,1464000,1748000,435000,,,79888000,47425000,15719000,3810000,,,12792000,,286000,2734000,,76276000,,-11612000,,,1503000,-271000,-711000,,,-11091000,68205000,,6705000,74910000,,,,
10/31/18,9174000,5785000,50380000,4107000,,,69446000,184484000,80126000,104358000,,,12692000,5701000,6991000,31044000,,14744000,226583000,,7795000,,49729000,1516000,22795000,616000,2591000,,,709000,,85751000,43275000,,,6621000,,11467000,,291000,2887000,,80287000,,-11997000,,,1498000,-191000,-779000,,,-11469000,71996000,,7473000,79469000,,,,
7/31/18,15840000,5002000,41985000,3543000,,,66370000,182524000,78505000,104019000,,,12545000,5547000,6998000,17840000,,10835000,206062000,,444000,,43128000,3057000,22846000,424000,1090000,,,694000,,71683000,44958000,,,6610000,,8999000,,294000,2710000,,80810000,,-13140000,,,1384000,-82000,-791000,,,-12629000,71185000,,2627000,73812000,,,,
4/30/18,7885000,4568000,43303000,3486000,,,59242000,187029000,79407000,107622000,,,12735000,5557000,7178000,18850000,,12035000,204927000,,7762000,,44612000,4607000,20782000,718000,1576000,,,700000,,80757000,29477000,,,6828000,,9541000,,294000,2557000,,82982000,,-10745000,,,1191000,73000,-800000,,,-10281000,75552000,,2772000,78324000,,,,
10/31/17,7026000,5865000,50147000,2330000,,,65368000,185103000,76948000,108155000,,,12641000,5497000,7144000,18204000,10543000,,209414000,,5114000,,47587000,1530000,21757000,540000,3257000,,,650000,,80435000,34206000,,,6700000,,9167000,,297000,2501000,,84480000,,-12133000,802000,,1314000,-172000,-944000,,,-11133000,76145000,,2761000,78906000,,,,
7/31/17,6469000,5395000,43442000,1457000,,,56763000,183545000,75375000,108170000,,,12581000,5398000,7183000,18037000,11413000,,201566000,,3262000,,42389000,3057000,19686000,505000,3254000,,,658000,,72811000,33706000,,,6763000,,9240000,,299000,2352000,,84838000,,-12609000,1353000,,1286000,-172000,-958000,,,-11100000,76389000,,2657000,79046000,,,,
4/30/17,6545000,5252000,43361000,2178000,,,57336000,181075000,73625000,107450000,,,11854000,5135000,6719000,17575000,10638000,,199718000,,2617000,,41367000,4628000,19708000,2018000,3256000,,,599000,,74193000,33774000,,,6251000,,9386000,,302000,2223000,,84120000,,-13630000,626000,,1322000,-287000,-985000,,,-12954000,73691000,,2423000,76114000,,,,
10/31/16,5939000,5344000,49822000,2296000,,,63401000,179667000,70991000,108676000,,,11482000,5070000,6412000,17792000,10576000,,206857000,,5082000,,42990000,1541000,21243000,459000,2266000,,,549000,,74130000,36178000,,,5930000,,10144000,,308000,2084000,,87636000,,-12684000,,,1490000,-459000,-682000,,,-12335000,77693000,,2782000,80475000,,,,
